reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id	library_source_material	library_source_molecule
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff2498e-9085-11ef-96d0-5fe85f94dca4	dg.4DFC/1ff2498e-9085-11ef-96d0-5fe85f94dca4		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff27eae-9085-11ef-a305-5f57edacb717	dg.4DFC/1ff27eae-9085-11ef-a305-5f57edacb717		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff2b248-9085-11ef-a244-87df857f951e	dg.4DFC/1ff2b248-9085-11ef-a244-87df857f951e		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff2e6be-9085-11ef-9549-5b25829765b7	dg.4DFC/1ff2e6be-9085-11ef-9549-5b25829765b7		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff32020-9085-11ef-a3b1-172509d21d35	dg.4DFC/1ff32020-9085-11ef-a3b1-172509d21d35		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff3568a-9085-11ef-8014-fb660b83dbae	dg.4DFC/1ff3568a-9085-11ef-8014-fb660b83dbae		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff38c9a-9085-11ef-a086-6322591a2742	dg.4DFC/1ff38c9a-9085-11ef-a086-6322591a2742		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff3c03e-9085-11ef-a566-5358afcaabfe	dg.4DFC/1ff3c03e-9085-11ef-a566-5358afcaabfe		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff3f34c-9085-11ef-9d9c-8b15796445de	dg.4DFC/1ff3f34c-9085-11ef-9d9c-8b15796445de		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff42b32-9085-11ef-b5ee-2bae0e9c3791	dg.4DFC/1ff42b32-9085-11ef-b5ee-2bae0e9c3791		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff45f3a-9085-11ef-84e0-1f24a7c04bb2	dg.4DFC/1ff45f3a-9085-11ef-84e0-1f24a7c04bb2		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff4937e-9085-11ef-b071-6ff03fc57d1b	dg.4DFC/1ff4937e-9085-11ef-b071-6ff03fc57d1b		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff4c9c0-9085-11ef-a66b-af01828c24df	dg.4DFC/1ff4c9c0-9085-11ef-a66b-af01828c24df		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff4fd82-9085-11ef-9ce6-17d2f170776c	dg.4DFC/1ff4fd82-9085-11ef-9ce6-17d2f170776c		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff531c6-9085-11ef-8eab-93ffa7cd4cbf	dg.4DFC/1ff531c6-9085-11ef-8eab-93ffa7cd4cbf		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff5683a-9085-11ef-b19e-1b58416d724e	dg.4DFC/1ff5683a-9085-11ef-b19e-1b58416d724e		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff59c2e-9085-11ef-b8eb-db2c499d68c2	dg.4DFC/1ff59c2e-9085-11ef-b8eb-db2c499d68c2		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff5d3f6-9085-11ef-8125-3bc1e67a4e18	dg.4DFC/1ff5d3f6-9085-11ef-8125-3bc1e67a4e18		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff60a56-9085-11ef-b4a6-1ba024216450	dg.4DFC/1ff60a56-9085-11ef-b4a6-1ba024216450		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff63fa8-9085-11ef-a8d7-d3bb29b32150	dg.4DFC/1ff63fa8-9085-11ef-a8d7-d3bb29b32150		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff67342-9085-11ef-80b2-9375cf8670d8	dg.4DFC/1ff67342-9085-11ef-80b2-9375cf8670d8		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff6a8e4-9085-11ef-b207-3f0505be24ed	dg.4DFC/1ff6a8e4-9085-11ef-b207-3f0505be24ed		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff6dd28-9085-11ef-b290-3b7459a0732a	dg.4DFC/1ff6dd28-9085-11ef-b290-3b7459a0732a		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff71090-9085-11ef-9709-7f9657246472	dg.4DFC/1ff71090-9085-11ef-9709-7f9657246472		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff74560-9085-11ef-988b-17bc15adb748	dg.4DFC/1ff74560-9085-11ef-988b-17bc15adb748		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff77954-9085-11ef-96f1-cb83d0b03d84	dg.4DFC/1ff77954-9085-11ef-96f1-cb83d0b03d84		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff7ae42-9085-11ef-a3da-975d351593c3	dg.4DFC/1ff7ae42-9085-11ef-a3da-975d351593c3		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff7e254-9085-11ef-92cf-0b357b568f1a	dg.4DFC/1ff7e254-9085-11ef-92cf-0b357b568f1a		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff8165c-9085-11ef-8c32-1f07f706a771	dg.4DFC/1ff8165c-9085-11ef-8c32-1f07f706a771		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff84ab4-9085-11ef-b6c0-9f62439855f9	dg.4DFC/1ff84ab4-9085-11ef-b6c0-9f62439855f9		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff87ff2-9085-11ef-a733-7f7699c6ad19	dg.4DFC/1ff87ff2-9085-11ef-a733-7f7699c6ad19		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff8b558-9085-11ef-8952-ffaa8a1f7499	dg.4DFC/1ff8b558-9085-11ef-8952-ffaa8a1f7499		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff8e92e-9085-11ef-b3d4-078a61548b9e	dg.4DFC/1ff8e92e-9085-11ef-b3d4-078a61548b9e		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff91d68-9085-11ef-b7e9-a7ac49ce6f4d	dg.4DFC/1ff91d68-9085-11ef-b7e9-a7ac49ce6f4d		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff951d4-9085-11ef-a57e-4f90827b1a90	dg.4DFC/1ff951d4-9085-11ef-a57e-4f90827b1a90		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff985f0-9085-11ef-be74-eb3c7be58031	dg.4DFC/1ff985f0-9085-11ef-be74-eb3c7be58031		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff9bfac-9085-11ef-a26a-cb0c0d107882	dg.4DFC/1ff9bfac-9085-11ef-a26a-cb0c0d107882		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ff9f3be-9085-11ef-8317-d30d51a1cc23	dg.4DFC/1ff9f3be-9085-11ef-8317-d30d51a1cc23		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffa26ae-9085-11ef-9562-efd1906c3571	dg.4DFC/1ffa26ae-9085-11ef-9562-efd1906c3571		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffa5a5c-9085-11ef-85dc-8f557fa8700b	dg.4DFC/1ffa5a5c-9085-11ef-85dc-8f557fa8700b		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffa8ef0-9085-11ef-b2b0-97976192a6d5	dg.4DFC/1ffa8ef0-9085-11ef-b2b0-97976192a6d5		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffac1e0-9085-11ef-810b-1f84242fa430	dg.4DFC/1ffac1e0-9085-11ef-810b-1f84242fa430		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffaf6c4-9085-11ef-9900-abe1b7f32213	dg.4DFC/1ffaf6c4-9085-11ef-9900-abe1b7f32213		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffb2a7c-9085-11ef-b1d1-9b40e6367363	dg.4DFC/1ffb2a7c-9085-11ef-b1d1-9b40e6367363		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffb5e98-9085-11ef-a9cb-07469e587a4f	dg.4DFC/1ffb5e98-9085-11ef-a9cb-07469e587a4f		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffb92f0-9085-11ef-9a0e-bbd13b62d416	dg.4DFC/1ffb92f0-9085-11ef-9a0e-bbd13b62d416		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffbc70c-9085-11ef-9796-5b301b0ad59c	dg.4DFC/1ffbc70c-9085-11ef-9796-5b301b0ad59c		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffbfa7e-9085-11ef-b74e-f355f9e0efd3	dg.4DFC/1ffbfa7e-9085-11ef-b74e-f355f9e0efd3		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffc2e36-9085-11ef-8349-ffb28c9be507	dg.4DFC/1ffc2e36-9085-11ef-8349-ffb28c9be507		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffc61ee-9085-11ef-a43e-17435228fcc8	dg.4DFC/1ffc61ee-9085-11ef-a43e-17435228fcc8		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffc9542-9085-11ef-9269-5f5a8172cc04	dg.4DFC/1ffc9542-9085-11ef-9269-5f5a8172cc04		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffcca30-9085-11ef-96c9-17372f86933d	dg.4DFC/1ffcca30-9085-11ef-96c9-17372f86933d		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffcfdca-9085-11ef-9dcb-ab1b37cd0de7	dg.4DFC/1ffcfdca-9085-11ef-9dcb-ab1b37cd0de7		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffd3146-9085-11ef-af24-e3e2b6a3ece9	dg.4DFC/1ffd3146-9085-11ef-af24-e3e2b6a3ece9		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffd69d6-9085-11ef-8c92-4332787e32f7	dg.4DFC/1ffd69d6-9085-11ef-8c92-4332787e32f7		Genomic DNA
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1ffd9db6-9085-11ef-b21f-2b0cbd5a53e1	dg.4DFC/1ffd9db6-9085-11ef-b21f-2b0cbd5a53e1		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1ffdd0ce-9085-11ef-9de6-9f33a3238b4d	dg.4DFC/1ffdd0ce-9085-11ef-9de6-9f33a3238b4d		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1ffe0526-9085-11ef-9c3c-83af459aa396	dg.4DFC/1ffe0526-9085-11ef-9c3c-83af459aa396		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1ffe38ca-9085-11ef-a3bf-db288ba18274	dg.4DFC/1ffe38ca-9085-11ef-a3bf-db288ba18274		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1ffe6cf0-9085-11ef-baf4-c7abda3fc060	dg.4DFC/1ffe6cf0-9085-11ef-baf4-c7abda3fc060		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1ffea0da-9085-11ef-a83d-938f27ef5ade	dg.4DFC/1ffea0da-9085-11ef-a83d-938f27ef5ade		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1ffed4b0-9085-11ef-9e53-0366b668b8ca	dg.4DFC/1ffed4b0-9085-11ef-9e53-0366b668b8ca		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1fff07d2-9085-11ef-8a52-072926b797aa	dg.4DFC/1fff07d2-9085-11ef-8a52-072926b797aa		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1fff3c2a-9085-11ef-b340-e7f09b78289a	dg.4DFC/1fff3c2a-9085-11ef-b340-e7f09b78289a		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1fff7000-9085-11ef-910b-674f90d73e4a	dg.4DFC/1fff7000-9085-11ef-910b-674f90d73e4a		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1fffa322-9085-11ef-b110-9bc02d2256c6	dg.4DFC/1fffa322-9085-11ef-b110-9bc02d2256c6		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/1fffd84c-9085-11ef-824f-9b3de5e606af	dg.4DFC/1fffd84c-9085-11ef-824f-9b3de5e606af		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20000c36-9085-11ef-aed1-c38d483146f4	dg.4DFC/20000c36-9085-11ef-aed1-c38d483146f4		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20003fa8-9085-11ef-97f5-033cae5e1296	dg.4DFC/20003fa8-9085-11ef-97f5-033cae5e1296		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20007810-9085-11ef-99d9-fbcb07c38f96	dg.4DFC/20007810-9085-11ef-99d9-fbcb07c38f96		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2000acc2-9085-11ef-ac23-5332077aa3c5	dg.4DFC/2000acc2-9085-11ef-ac23-5332077aa3c5		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2000dfc6-9085-11ef-a407-17d9103a2c53	dg.4DFC/2000dfc6-9085-11ef-a407-17d9103a2c53		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/200114fa-9085-11ef-9947-ef30c7cc56ec	dg.4DFC/200114fa-9085-11ef-9947-ef30c7cc56ec		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/200148b2-9085-11ef-befb-8be2c5a5425c	dg.4DFC/200148b2-9085-11ef-befb-8be2c5a5425c		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20017ce2-9085-11ef-b626-dfe25c12a820	dg.4DFC/20017ce2-9085-11ef-b626-dfe25c12a820		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2001b0b8-9085-11ef-8074-931d1b1607ef	dg.4DFC/2001b0b8-9085-11ef-8074-931d1b1607ef		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2001e434-9085-11ef-8519-07c95a9834e0	dg.4DFC/2001e434-9085-11ef-8519-07c95a9834e0		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20021882-9085-11ef-b483-7b32ebaac782	dg.4DFC/20021882-9085-11ef-b483-7b32ebaac782		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20024e06-9085-11ef-b178-d3da272c28ac	dg.4DFC/20024e06-9085-11ef-b178-d3da272c28ac		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2002820e-9085-11ef-a90e-0ffe36cdcd7a	dg.4DFC/2002820e-9085-11ef-a90e-0ffe36cdcd7a		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2002b58a-9085-11ef-8d8f-831fb7251f30	dg.4DFC/2002b58a-9085-11ef-8d8f-831fb7251f30		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2002ea78-9085-11ef-a65f-a7c574a2bf97	dg.4DFC/2002ea78-9085-11ef-a65f-a7c574a2bf97		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20031e6c-9085-11ef-b9c8-d7ce80248d97	dg.4DFC/20031e6c-9085-11ef-b9c8-d7ce80248d97		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2003527e-9085-11ef-8101-db9d933f15ef	dg.4DFC/2003527e-9085-11ef-8101-db9d933f15ef		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2003892e-9085-11ef-b422-bbea89f85ceb	dg.4DFC/2003892e-9085-11ef-b422-bbea89f85ceb		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2003bcfa-9085-11ef-bd71-0f8aca03a23c	dg.4DFC/2003bcfa-9085-11ef-bd71-0f8aca03a23c		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2003f076-9085-11ef-8d4d-53f7ff447b19	dg.4DFC/2003f076-9085-11ef-8d4d-53f7ff447b19		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20042514-9085-11ef-b983-8331f25592dd	dg.4DFC/20042514-9085-11ef-b983-8331f25592dd		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20045ef8-9085-11ef-852d-1fa872c750a2	dg.4DFC/20045ef8-9085-11ef-852d-1fa872c750a2		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/200492a6-9085-11ef-b21d-63ec4b7ecc41	dg.4DFC/200492a6-9085-11ef-b21d-63ec4b7ecc41		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2004c884-9085-11ef-937f-237385f3cece	dg.4DFC/2004c884-9085-11ef-937f-237385f3cece		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2004fc14-9085-11ef-bcb1-3badfde4792e	dg.4DFC/2004fc14-9085-11ef-bcb1-3badfde4792e		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20052ee6-9085-11ef-b011-17c618a8cc35	dg.4DFC/20052ee6-9085-11ef-b011-17c618a8cc35		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/200564e2-9085-11ef-93a4-13455c21f69b	dg.4DFC/200564e2-9085-11ef-93a4-13455c21f69b		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20059ca0-9085-11ef-8e4e-e3d245430fa9	dg.4DFC/20059ca0-9085-11ef-8e4e-e3d245430fa9		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2005d058-9085-11ef-9427-37fc40a80688	dg.4DFC/2005d058-9085-11ef-9427-37fc40a80688		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20060866-9085-11ef-ab8f-274bc790dffa	dg.4DFC/20060866-9085-11ef-ab8f-274bc790dffa		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20063bce-9085-11ef-9318-e3853ddfd3ee	dg.4DFC/20063bce-9085-11ef-9318-e3853ddfd3ee		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20067012-9085-11ef-b28e-2345d4feb011	dg.4DFC/20067012-9085-11ef-b28e-2345d4feb011		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2006a4ec-9085-11ef-95fd-8794221a98fe	dg.4DFC/2006a4ec-9085-11ef-95fd-8794221a98fe		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2006d80e-9085-11ef-9562-f7296b6b0584	dg.4DFC/2006d80e-9085-11ef-9562-f7296b6b0584		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/20071184-9085-11ef-a547-130c6989bd97	dg.4DFC/20071184-9085-11ef-a547-130c6989bd97		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2007455a-9085-11ef-9962-5324d02eaebe	dg.4DFC/2007455a-9085-11ef-9962-5324d02eaebe		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/200778c2-9085-11ef-b0d2-571929cc6a62	dg.4DFC/200778c2-9085-11ef-b0d2-571929cc6a62		Genomic DNA
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2007ae78-9085-11ef-86dc-978d6c527a75	dg.4DFC/2007ae78-9085-11ef-86dc-978d6c527a75		Genomic DNA
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2007e276-9085-11ef-9c56-bff27ea9426d	dg.4DFC/2007e276-9085-11ef-9c56-bff27ea9426d		Genomic DNA
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	Not specified in data	genomic_info	dg.4DFC/2008161a-9085-11ef-bb8f-8f503830a103	dg.4DFC/2008161a-9085-11ef-bb8f-8f503830a103		Genomic DNA
