type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	8bc86fb0-fb54-540d-b868-8b7d2bfb75a6	dg.4DFC/8bc86fb0-fb54-540d-b868-8b7d2bfb75a6	Low Pass WGS: Primary Tumor	bam	COTC026_0822_T.bam	7753561081	Whole Genome Sequence File	db3be496dae7cced9a5dfacab05772dc	COTC026-0822-T
file	8d33656a-76e1-5d58-a602-eff73bc994b6	dg.4DFC/8d33656a-76e1-5d58-a602-eff73bc994b6	Low Pass WGS: Primary Tumor	bai	COTC026_2022_T.bam.bai	2360600	Whole Genome Sequence File	30d5fc15cc88ae753e151eab2d51f4ff	COTC026-2022-T
file	8d92c67b-16e4-5e44-9871-222dc8a9d9c6	dg.4DFC/8d92c67b-16e4-5e44-9871-222dc8a9d9c6	Low Pass WGS: Primary Tumor	bai	COTC026_0417_T.bam.bai	2986536	Whole Genome Sequence File	2bde1e6e64352676922083b1f039d758	COTC026-0417-T
file	8f80a801-cd3e-5b83-80e5-cf242c87af8c	dg.4DFC/8f80a801-cd3e-5b83-80e5-cf242c87af8c	Low Pass WGS: Primary Tumor	bam	COTC026_0230_T.bam	7907039168	Whole Genome Sequence File	0e6cd88ed298ef52a90c1c1f9fed512e	COTC026-0230-T
file	92541684-3520-5f18-b909-036f0e878137	dg.4DFC/92541684-3520-5f18-b909-036f0e878137	Low Pass WGS: Primary Tumor	bam	COTC026_0654_T.bam	6426677389	Whole Genome Sequence File	ce549a095a86976e6f5fad17d85898c1	COTC026-0654-T
file	9343fdfc-0d5e-57d4-a4a4-5f70aee12b74	dg.4DFC/9343fdfc-0d5e-57d4-a4a4-5f70aee12b74	Low Pass WGS: Primary Tumor	bam	COTC026_1033_T.bam	6095120205	Whole Genome Sequence File	995a62d9748e4e1e2f209372163efa9a	COTC026-1033-T
file	9529de50-80c1-589a-b4b5-ad201b68f5cc	dg.4DFC/9529de50-80c1-589a-b4b5-ad201b68f5cc	Low Pass WGS: Primary Tumor	bam	COTC026_0247_T.bam	6252481808	Whole Genome Sequence File	4fdc77363642b95b4c710f1859ac2e57	COTC026-0247-T
file	952f8b1e-d351-506f-a1c9-5013c332e869	dg.4DFC/952f8b1e-d351-506f-a1c9-5013c332e869	Low Pass WGS: Primary Tumor	bam	COTC026_0536_T.bam	10330626311	Whole Genome Sequence File	358d1732b30963649421844761a72faf	COTC026-0536-T
file	975fb989-8c13-53f7-9a2b-a04fb0045350	dg.4DFC/975fb989-8c13-53f7-9a2b-a04fb0045350	Low Pass WGS: Primary Tumor	bai	COTC026_0427_T.bam.bai	2185056	Whole Genome Sequence File	e516ffbb0453159d821a50fb42aa8e3c	COTC026-0427-T
file	9b08764a-a31f-58f4-a6cd-09dba01c6618	dg.4DFC/9b08764a-a31f-58f4-a6cd-09dba01c6618	Low Pass WGS: Primary Tumor	bai	COTC026_0923_T.bam.bai	3616136	Whole Genome Sequence File	c0728b4c6e373528a833f6a01e633fb7	COTC026-0923-T
