type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	a0b29af9-3f99-528c-a2ec-8e922e1f805d	dg.4DFC/a0b29af9-3f99-528c-a2ec-8e922e1f805d	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14096169_1.fastq.gz	4113319662	Whole Genome Sequence File	6482e36d5829362bb7a96161798500dd	PRECINCT02-03-T-RV1001-N
file	a0d6a39b-814e-55d1-896c-f40d484dfcb3	dg.4DFC/a0d6a39b-814e-55d1-896c-f40d484dfcb3	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102888_1.fastq.gz	5218932112	Whole Genome Sequence File	a1099f3bb6a13b2175b45697c822a4ae	PRECINCT02-02-T-DOXTAK-T
file	a146b601-087d-5956-9346-b0536a39d272	dg.4DFC/a146b601-087d-5956-9346-b0536a39d272	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14096182_1.fastq.gz	2339504825	Whole Genome Sequence File	da45ddd3999d3fecdcab41fde795867c	PRECINCT02-04-T-RV1001-N
file	a1866fc5-94c7-5410-b41b-de383230ca9c	dg.4DFC/a1866fc5-94c7-5410-b41b-de383230ca9c	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102903_1.fastq.gz	5772913860	Whole Genome Sequence File	23e58d3a8dc21bf9aac53ad98d882fea	PRECINCT02-03-T-DOXTAK-T
file	a1ee2b7c-d98b-5772-8940-e23caf533d5a	dg.4DFC/a1ee2b7c-d98b-5772-8940-e23caf533d5a	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14099666_2.fastq.gz	4143400630	Whole Genome Sequence File	4e27dd468f5fd41d46bb3e89255786fb	PRECINCT02-02-T-DOXRV-T
file	a2625c2c-488f-5f1e-a406-f002334ad021	dg.4DFC/a2625c2c-488f-5f1e-a406-f002334ad021	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102884_2.fastq.gz	5439020476	Whole Genome Sequence File	c23148f5d3b14176a85dc8612078c435	PRECINCT02-02-T-DOXTAK-T
file	a2943133-8569-5f76-a9b1-429ab0a0df5f	dg.4DFC/a2943133-8569-5f76-a9b1-429ab0a0df5f	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102103_2.fastq.gz	6365882798	Whole Genome Sequence File	61a2b699ad83f212b9e1d9d3da6a9945	PRECINCT02-10-T-RVKPT-T
file	a2a6408c-e7d0-5e21-a765-f792c91e8c17	dg.4DFC/a2a6408c-e7d0-5e21-a765-f792c91e8c17	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102091_1.fastq.gz	6780527683	Whole Genome Sequence File	7cb7b73ff8efbf57abf06a6049dd6922	PRECINCT02-09-T-RVKPT-T
file	a313eaac-577c-4718-95de-4160be56addc	dg.4DFC/a313eaac-577c-4718-95de-4160be56addc	NanoString RCC (tumor); timepoint: Relapse; Relapse Y; title: 05-T-DOXRV-LN-D	RCC	05-T-DOXRV-LN-D.RCC	29515	NanoString nCounter Canine IO Analysis File	de8832bee52b103a8f40a6e6d3cd375f	PRECINCT02-05-T-DOXRV-T
file	a32a6a4c-2523-555c-a115-935ee9d84f76	dg.4DFC/a32a6a4c-2523-555c-a115-935ee9d84f76	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102921_2.fastq.gz	7471331328	Whole Genome Sequence File	18b2803139a209622c565ab63ba60b90	PRECINCT02-04-T-DOXTAK-N
file	a36a3400-737f-561b-aa26-b73b4d866d8b	dg.4DFC/a36a3400-737f-561b-aa26-b73b4d866d8b	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14096181_1.fastq.gz	3282402998	Whole Genome Sequence File	2fb4c18493a98172f1049358830fb30e	PRECINCT02-04-T-RV1001-N
file	a37e9d9d-ef58-59dc-99bf-27d2f2cd3f48	dg.4DFC/a37e9d9d-ef58-59dc-99bf-27d2f2cd3f48	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102923_1.fastq.gz	4899970547	Whole Genome Sequence File	21553f5379af848fd5fc25442a8b8b6b	PRECINCT02-05-T-DOXTAK-T
