type	sample_id	case.case_id	comment	crdc_id	date_of_sample_collection	general_sample_pathology	length_of_tumor	molecular_subtype	necropsy_sample	percentage_tumor	physical_sample_type	sample_chronology	sample_preservation	sample_site	specific_sample_pathology	summarized_sample_type	tumor_grade	tumor_sample_origin	visit.visit_record_id	volume_of_tumor	width_of_tumor
sample	PRECINCT02-06-T-KPT9274-N	PRECINCT02-06-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); matched normal; ENA accession SAMEA117553168	dbf4a8d1-e84f-4827-8f8b-3325e47784f4	9/26/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-06-T-KPT9274-2019-09-26		
sample	PRECINCT02-06-T-KPT9274-T	PRECINCT02-06-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); ENA accession SAMEA117553119	95e49e73-8b09-4df7-a0a3-024f32498db5	9/26/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-06-T-KPT9274-2019-09-26		
sample	PRECINCT02-06-T-RVKPT-N	PRECINCT02-06-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553188	ec18b530-7b64-4e63-9793-248d0f95b73a	8/19/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-06-T-RVKPT-2020-08-19		
sample	PRECINCT02-06-T-RVKPT-T	PRECINCT02-06-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553139	09842b83-0c9a-4197-808e-c4d958868bd3	8/19/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-06-T-RVKPT-2020-08-19		
sample	PRECINCT02-07-T-DOXTAK-N	PRECINCT02-07-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553202	7a498fcc-efb8-42ee-a97a-f8621b04a95e	4/13/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-07-T-DOXTAK-2021-04-13		
sample	PRECINCT02-07-T-DOXTAK-T	PRECINCT02-07-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553153	01779aad-b163-44ec-a0b0-20d27ba071f6	4/13/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-07-T-DOXTAK-2021-04-13		
sample	PRECINCT02-07-T-KPT9274-N	PRECINCT02-07-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); matched normal; ENA accession SAMEA117553169	cf44aaf0-ed8f-469e-a5d0-deaf1f51379b	10/15/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-07-T-KPT9274-2019-10-15		
sample	PRECINCT02-07-T-KPT9274-T	PRECINCT02-07-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); ENA accession SAMEA117553120	1902af94-738c-4f8f-a2f9-d1dc189b5a7b	10/15/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-07-T-KPT9274-2019-10-15		
sample	PRECINCT02-07-T-RVKPT-N	PRECINCT02-07-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553189	e8de6eb2-6462-4568-b784-3d12c2a5c096	9/23/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-07-T-RVKPT-2020-09-23		
sample	PRECINCT02-07-T-RVKPT-T	PRECINCT02-07-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553140	8285c00c-102e-410c-8172-bf4d42ed3e93	9/23/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-07-T-RVKPT-2020-09-23		
sample	PRECINCT02-07-T-TAK981-N	PRECINCT02-07-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); matched normal; ENA accession SAMEA117553174	732ab115-84dd-4f28-a9eb-3c40c61c2cd4	10/25/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-07-T-TAK981-2019-10-25		
sample	PRECINCT02-07-T-TAK981-T	PRECINCT02-07-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); ENA accession SAMEA117553125	5fb1acee-dc20-45d9-bf54-63d5c5f26fb4	10/25/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-07-T-TAK981-2019-10-25		
sample	PRECINCT02-08-T-DOXTAK-N	PRECINCT02-08-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553203	eb9c13bf-44dd-4b7e-8f13-82d97ea53201	4/26/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-08-T-DOXTAK-2021-04-26		
sample	PRECINCT02-08-T-DOXTAK-T	PRECINCT02-08-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553154	9a23f138-6086-46f5-9a3f-7017d83196ca	4/26/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-08-T-DOXTAK-2021-04-26		
sample	PRECINCT02-08-T-RVKPT-N	PRECINCT02-08-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553190	6311ddc8-4ff8-4f01-9a67-c6320e498441	9/14/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-08-T-RVKPT-2020-09-14		
sample	PRECINCT02-08-T-RVKPT-T	PRECINCT02-08-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553141	a9218760-b773-4c95-b396-29eeece196bf	9/14/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-08-T-RVKPT-2020-09-14		
sample	PRECINCT02-09-T-DOXTAK-N	PRECINCT02-09-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553204	bb72e300-3313-490c-888d-32babddfe385	5/3/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-09-T-DOXTAK-2021-05-03		
sample	PRECINCT02-09-T-DOXTAK-T	PRECINCT02-09-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553155	6f852793-df85-4149-b6f3-53937b24979a	5/3/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-09-T-DOXTAK-2021-05-03		
sample	PRECINCT02-09-T-RVKPT-N	PRECINCT02-09-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553191	397a6b4f-4e07-4116-a9b9-154cd33147f7	10/14/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-09-T-RVKPT-2020-10-14		
sample	PRECINCT02-09-T-RVKPT-T	PRECINCT02-09-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553142	043de4e7-4f6b-4af0-ab37-ed361134a15f	10/14/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-09-T-RVKPT-2020-10-14		
sample	PRECINCT02-10-T-DOXTAK-N	PRECINCT02-10-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553205	57b8ef62-41ac-4118-bd27-f790de413557	5/13/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-10-T-DOXTAK-2021-05-13		
sample	PRECINCT02-10-T-DOXTAK-T	PRECINCT02-10-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553156	cc5a14ee-fb57-439a-b8ec-44d1624be992	5/13/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-10-T-DOXTAK-2021-05-13		
sample	PRECINCT02-10-T-RVKPT-N	PRECINCT02-10-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553192	30632f7b-75a5-4b43-a5b6-f440a5f4a816	10/29/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-10-T-RVKPT-2020-10-29		
sample	PRECINCT02-10-T-RVKPT-T	PRECINCT02-10-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553143	b066feab-af92-49ff-9e8f-6a5a5b322e0a	10/29/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-10-T-RVKPT-2020-10-29		
sample	PRECINCT02-11-T-DOXTAK-N	PRECINCT02-11-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553206	e5091a1a-328a-4545-b832-e6f10ab9319d	5/14/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-11-T-DOXTAK-2021-05-14		
sample	PRECINCT02-11-T-DOXTAK-T	PRECINCT02-11-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553157	9f7e9269-b03c-48fb-ab43-0882d9079bb5	5/14/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-11-T-DOXTAK-2021-05-14		
sample	PRECINCT02-12-T-RVKPT-N	PRECINCT02-12-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553193	3a39e58e-6574-4471-9d39-0a2c5be24bd9	11/3/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-12-T-RVKPT-2020-11-03		
sample	PRECINCT02-12-T-RVKPT-T	PRECINCT02-12-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553144	7e857f3f-bba3-4052-b3b2-234fbda0cbc7	11/3/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-12-T-RVKPT-2020-11-03		
sample	PRECINCT02-13-T-RVKPT-N	PRECINCT02-13-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553194	63dde361-3c50-4b8d-a574-6c0893e4454b	11/4/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-13-T-RVKPT-2020-11-04		
sample	PRECINCT02-13-T-RVKPT-T	PRECINCT02-13-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553145	088d9cf5-34ae-4b44-a940-79f3c9be9e67	11/4/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-13-T-RVKPT-2020-11-04		
sample	PRECINCT02-14-T-RVKPT-N	PRECINCT02-14-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553195	eba1c24e-03ca-4d9f-8135-a158f8e18462	11/5/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-14-T-RVKPT-2020-11-05		
sample	PRECINCT02-14-T-RVKPT-T	PRECINCT02-14-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553146	4c1b66f0-f15c-4e62-bf82-0c63f2b29624	11/5/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-14-T-RVKPT-2020-11-05		
