type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/24355002-3308-54f9-a24f-6d054173af97	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/24355002-3308-54f9-a24f-6d054173af97	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/25c3f408-7824-5b8b-abd8-76e6b746693a	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/25c3f408-7824-5b8b-abd8-76e6b746693a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2605bf0c-a1d7-5fd4-a4b8-86bda5bd0cb7	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2605bf0c-a1d7-5fd4-a4b8-86bda5bd0cb7	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/267991a5-b438-5ac6-8606-a135948e1566	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/267991a5-b438-5ac6-8606-a135948e1566	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/27a77294-d7f1-54bc-a48b-1e61f5eb296b	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/27a77294-d7f1-54bc-a48b-1e61f5eb296b	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/287c8833-ee62-5dcc-b23f-610e49c6739f	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/287c8833-ee62-5dcc-b23f-610e49c6739f	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2a1ac153-68af-5aa3-8b61-ff9297086056	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2a1ac153-68af-5aa3-8b61-ff9297086056	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2a827b3d-b736-5335-86ab-34db39fcc3f5	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2a827b3d-b736-5335-86ab-34db39fcc3f5	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2ac2ebd7-46b1-58a7-a18a-0ab11bd304e1	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2ac2ebd7-46b1-58a7-a18a-0ab11bd304e1	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2ac58f89-6533-55b7-983e-a640737da72d	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2ac58f89-6533-55b7-983e-a640737da72d	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2c71084e-2bcf-5d38-9b69-9ac3dfb7e120	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2c71084e-2bcf-5d38-9b69-9ac3dfb7e120	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2c75b868-8cfe-5c78-88f0-86e4c11bd668	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2c75b868-8cfe-5c78-88f0-86e4c11bd668	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2dba2dfe-bc6a-5512-b249-239e2a28b715	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2dba2dfe-bc6a-5512-b249-239e2a28b715	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2eee2206-9fea-5dfc-ae5f-75092ce82c7b	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2eee2206-9fea-5dfc-ae5f-75092ce82c7b	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2ff149f9-8e1e-5fd6-8ce2-d29748ae1d65	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2ff149f9-8e1e-5fd6-8ce2-d29748ae1d65	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/3073906e-0952-56a7-ab0b-abec6782f500	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/3073906e-0952-56a7-ab0b-abec6782f500	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/30c53a85-ceb5-587c-aefc-7a25b7f77bf3	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/30c53a85-ceb5-587c-aefc-7a25b7f77bf3	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/30f5ab0a-b5d6-59a4-9aea-c0ed0c460bb5	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/30f5ab0a-b5d6-59a4-9aea-c0ed0c460bb5	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/31017bbd-976b-5f05-8fcc-d911b9864b2e	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/31017bbd-976b-5f05-8fcc-d911b9864b2e	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/32be14a6-41bd-5ae4-a385-b87e1bf41b5c	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/32be14a6-41bd-5ae4-a385-b87e1bf41b5c	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/33b74cb9-c375-522c-bb56-470f46e26eca	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/33b74cb9-c375-522c-bb56-470f46e26eca	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/340b980b-9202-5bd1-97c2-cfc07ec6974f	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/340b980b-9202-5bd1-97c2-cfc07ec6974f	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/3436aeb2-4f58-5881-a048-ef1671e5ad11	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/3436aeb2-4f58-5881-a048-ef1671e5ad11	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/3610e346-dbf3-5c12-8d45-47d2a429f730	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/3610e346-dbf3-5c12-8d45-47d2a429f730	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/36a25ffa-ed8b-532c-80b3-b391771ed23a	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/36a25ffa-ed8b-532c-80b3-b391771ed23a	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/37449159-c2ed-595f-a00b-5c7378e4ed4f	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/37449159-c2ed-595f-a00b-5c7378e4ed4f	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/3790dfb3-2ce5-5232-9b82-81a26266e3a5	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/3790dfb3-2ce5-5232-9b82-81a26266e3a5	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/38abfe7b-2267-519e-a2c6-595947d2c524	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/38abfe7b-2267-519e-a2c6-595947d2c524	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
