library_id	reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	library_selection	instrument_model
TWFU-CPT0001500003-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4404c0a-1c04-11ee-8111-4f5cb5bdbf8d_TWFU-CPT0001500003-Y1N1Ba1_1	dg.4DFC/f4404c0a-1c04-11ee-8111-4f5cb5bdbf8d	Not specified in data	Not specified in data
TWFU-CPT0001500003-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f44071d0-1c04-11ee-baec-0366a3f7119b_TWFU-CPT0001500003-Y1N1Ba1_1	dg.4DFC/f44071d0-1c04-11ee-baec-0366a3f7119b	Not specified in data	Not specified in data
TWFU-CPT0001500003-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f44098e0-1c04-11ee-9cb2-a70720b4caf9_TWFU-CPT0001500003-Y1N1Ba1_1	dg.4DFC/f44098e0-1c04-11ee-9cb2-a70720b4caf9	Not specified in data	Not specified in data
TWFU-CPT0001540013-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f440bef6-1c04-11ee-9015-9717894cc823_TWFU-CPT0001540013-Y1N1Ba1_1	dg.4DFC/f440bef6-1c04-11ee-9015-9717894cc823	Not specified in data	Not specified in data
TWFU-CPT0001540013-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f440e552-1c04-11ee-8a25-835b41a16777_TWFU-CPT0001540013-Y1N1Ba1_1	dg.4DFC/f440e552-1c04-11ee-8a25-835b41a16777	Not specified in data	Not specified in data
TWFU-CPT0001540013-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4410a5a-1c04-11ee-8405-5b5fe4474b04_TWFU-CPT0001540013-Y1N1Ba1_1	dg.4DFC/f4410a5a-1c04-11ee-8405-5b5fe4474b04	Not specified in data	Not specified in data
TWFU-CPT0010100001N1-CPT0010100001-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f44133cc-1c04-11ee-ac0d-d7d4d51f756a_TWFU-CPT0010100001N1-CPT0010100001-ATAC	dg.4DFC/f44133cc-1c04-11ee-ac0d-d7d4d51f756a	Not specified in data	Not specified in data
TWFU-CPT0010100001N1-CPT0010100001-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f441597e-1c04-11ee-98e4-77d8c7d08447_TWFU-CPT0010100001N1-CPT0010100001-ATAC	dg.4DFC/f441597e-1c04-11ee-98e4-77d8c7d08447	Not specified in data	Not specified in data
TWFU-CPT0010100001N1-CPT0010100001-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4417fc6-1c04-11ee-96e4-0f889e2da3db_TWFU-CPT0010100001N1-CPT0010100001-ATAC	dg.4DFC/f4417fc6-1c04-11ee-96e4-0f889e2da3db	Not specified in data	Not specified in data
TWFU-CPT0010100001N1-CPT0010100001-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f441a5a0-1c04-11ee-b192-0735dfa5640f_TWFU-CPT0010100001N1-CPT0010100001-ATAC	dg.4DFC/f441a5a0-1c04-11ee-b192-0735dfa5640f	Not specified in data	Not specified in data
